Year,Country Name,Population,GDP PPP 2017,GDP PPP/capita 2017,Region,Income Group,gdp_per_capita_growth,region_economic_weight,gdp_ppp_2017_log,gdp_ppp_2017_squared,gdp_ppp_2017_growth,gdp_ppp_2017_rolling_mean_3y,gdp_ppp_2017_rolling_std_3y,gdp_ppp_2017_deviation,gdp_ppp/capita_2017_log,gdp_ppp/capita_2017_squared,gdp_ppp/capita_2017_growth,gdp_ppp/capita_2017_rolling_mean_3y,gdp_ppp/capita_2017_rolling_std_3y,gdp_ppp/capita_2017_deviation,population_log,population_squared,population_growth,population_rolling_mean_3y,population_rolling_std_3y,population_deviation,gdp_per_capita_acceleration,MSW,MSW_log
2000,Argentina,37070774,686729030353.62,18524.81,Latin America & Caribbean,Upper middle income,-0.0190696925698464,0.8445487675833746,27.255205626842745,4.715967611304232e+23,-0.0338545704063334,698454930227.6635,15817654449.93776,0.8798566089541623,9.826920173904748,343168585.53610003,-0.0449214542122208,19060.976666666666,642.5329526439306,0.5822383371843776,17.428339481301688,1374242284959076,0.0115870543571992,36652333.333333336,418789.9358441352,1.4718959621069372,-2.692365355363748,15401632.11,16.549984107865264
2001,Argentina,37480493,656452248351.55,17514.5,Latin America & Caribbean,Upper middle income,-0.0545382111881309,0.8440781040937891,27.21011579133788,4.309295543658051e+23,-0.0078899893905663,678457228004.3066,19251519452.65764,0.490849591712052,9.77084148218388,306757710.25,-0.0190696925698464,18308.08333333333,710.4606142731108,0.0006449834373916,17.439331195610496,1404787355523049,0.011397229331457,37068099.333333336,413737.48409146274,1.486763068344032,-0.5754880846074972,15000040.0,16.523563492396082
2002,Argentina,37885028,584935157747.95,15439.74,Latin America & Caribbean,Upper middle income,-0.1184595620771361,0.8405163389442567,27.09476683658012,3.421491387696191e+23,-0.0440883968258621,642705478817.7067,52270722010.29265,-0.3810680607208796,9.644764749891422,238385571.2676,-0.0545382111881309,17159.683333333334,1572.8430870348532,-1.1347117444700143,17.45006657882178,1435275346560784,0.0110523454406428,37478765.0,407129.75034624926,1.498960069768131,1.8599418154421792,14445475.89,16.48589190552928
2003,Argentina,38278164,636626116266.94,16631.57,Latin America & Caribbean,Upper middle income,0.0771923620475474,0.8374737897489598,27.179448375564824,4.052928119131273e+23,-0.1089448482859039,626004507455.48,36922723252.87843,0.2749947347552663,9.719118100234873,276609120.6649,-0.1184595620771361,16528.603333333336,1041.2054865555244,-0.4109475130111454,17.460390187140906,1465217839210896,0.0107932144862661,37881228.333333336,398849.0744132821,1.5064127112907997,1.17204707482075,14759521.46,16.507399022954672
2004,Argentina,38668796,694110738086.54,17950.15,Latin America & Caribbean,Upper middle income,0.0792817515123347,0.8365472398130904,27.26589734969172,4.817897167270414e+23,0.0883704079577034,638557337367.1434,54613405376.0648,0.9738302484643754,9.7954094587166,322207885.02250004,0.0771923620475474,16673.820000000003,1255.738184853831,0.3822722243031864,17.47054355371245,1495275784089616,0.0103770808879961,38277329.333333336,391884.6666524864,1.514024570300445,-1.6516347071862618,16093341.95,16.59391626308124
2005,Argentina,39070501,755551060091.1,19338.15,Latin America & Caribbean,Upper middle income,0.0773252591203972,0.8373539745493211,27.350713200878587,5.70857404404785e+23,0.090295733006807,695429304814.86,59473435494.82955,1.579972584096181,9.869886817679497,373964045.4225001,0.0792817515123347,17973.290000000005,1353.438369043815,1.1623173356899947,17.480878315681753,1526504048391001,0.0102050871614427,38672487.0,396181.3953266816,1.526639073025818,0.0270673083368058,15612358.43,16.56357342969249
2006,Argentina,39476851,816351398559.74,20679.24,Latin America & Caribbean,Upper middle income,0.0693494465602966,0.8404227371974529,27.42811073470477,6.664296059304435e+23,0.0885165992013505,755337732245.7933,61120609452.19849,1.9642436464615285,9.936933933970884,427630966.9776,0.0773252591203972,19322.513333333336,1364.6121925416376,1.7358908001054636,17.491225032774945,1558421764876201,0.0103883503380866,39072049.333333336,404029.7250925097,1.539914056884907,-0.0246777140340185,16677433.14,16.629567114524882
2007,Argentina,39876111,889885482455.56,22316.26,Latin America & Caribbean,Upper middle income,0.0791624837276416,0.8467347706004356,27.5143586199966,7.918961718851649e+23,0.0804715150043056,820595980368.8002,67267723419.5462,2.2462149660914545,10.013115649103009,498015460.3876,0.0693494465602966,20777.88333333333,1491.5034942745767,2.184503462171872,17.501288005827778,1590104228484321,0.0104004297257411,39474487.66666666,402810.1997632743,1.549191469898419,-0.103146276531477,17419788.65,16.673117454114806
2008,Argentina,40273769,925990210832.67,22992.39,Latin America & Caribbean,Upper middle income,0.0302976394790166,0.8521867597266716,27.55412950008279,8.574578705579327e+23,0.0900765087504642,877409030615.9901,55874087706.49797,2.1545433222933097,10.042962062302143,528649997.9121,0.0791624837276416,21995.963333333333,1189.3730266965267,2.1114254313278296,17.51121094652371,1621976469465361,0.010113775285673,39875577.0,398459.2683675414,1.5573583596360383,0.1415013046832753,16695022.2,16.63062122099654
2009,Argentina,40684338,871185248000.0,21413.28,Latin America & Caribbean,Upper middle income,-0.0686796805377779,0.8550155401941593,27.493120475456923,7.589637363328215e+23,0.040572331034643,895686980429.41,27859271739.00837,1.541981643499152,9.971813268190775,458528560.3583999,0.0302976394790166,22240.64333333333,792.266058993605,1.31588310275229,17.52135378520692,1655215358498244,0.0099723365701334,40278072.66666666,404130.6868357443,1.5693656722441611,-0.6172727527946749,16611995.81,16.625635691702904
2010,Argentina,40788453,959396223037.21,23521.27,Latin America & Caribbean,Upper middle income,0.0984431156740117,0.858312509014521,27.58956998921093,9.20441112778064e+23,-0.0591852507634915,918857227289.96,44535981182.84937,1.9630375059522505,10.065702910960868,553250142.4129,-0.0686796805377779,22642.31333333333,1096.7318334183851,1.94268261987802,17.52390960912903,1663697898133209,0.010194451877598,40582186.66666666,272123.2737939399,1.4809583678726432,-3.26683272092348,17430727.37,16.67374520491914
2011,Argentina,41261490,1016997908810.97,24647.63,Latin America & Caribbean,Upper middle income,0.0478868700542105,0.8613272742512406,27.64787617676077,1.034284746525886e+24,0.1012539815610031,949193126616.06,73439842017.99484,2.069728372677246,10.11247659983301,607505664.6169001,0.0984431156740117,23194.06,1641.8144745067614,2.06994774019458,17.5354402016486,1702510557020100,0.0025590928872925,40911427.0,307600.4897314028,1.530083729822995,-2.433365951955209,18206582.72,16.717293829490995
2012,Argentina,41733271,1006559234253.78,24118.87,Latin America & Caribbean,Upper middle income,-0.0214527725383739,0.8626624728553032,27.63755893201317,1.013161492061556e+24,0.0600395169280605,994317788700.6532,30690035726.87984,1.8008907383652677,10.09079126110852,581719890.0769,0.0478868700542105,24095.923333333336,563.5305000913706,1.7086635222043003,17.54680925831252,1741665908359441,0.0115973263315478,41261071.333333336,472409.13913929655,1.5697588980463126,-0.5135579595755082,18144443.52,16.71387498476859
2013,Argentina,42202935,1030770242883.07,24424.14,Latin America & Caribbean,Upper middle income,0.0126568947881886,0.863708359607707,27.66132744732585,1.062487293613223e+24,-0.0102642045443283,1018109128649.2734,12143695560.183985,1.772178727189629,10.103368208726696,596538614.7396,-0.0214527725383739,24396.88,265.4319406173497,1.661141772200665,17.558000350045834,1781087722614225,0.0114339302822075,41732565.333333336,470722.896702858,1.6014043480256157,-1.4479886138744975,17959177.47,16.70361187758722
2014,Argentina,42669500,1004870951838.0,23550.1,Latin America & Caribbean,Upper middle income,-0.0357859068937534,0.8652459531761674,27.635880243064467,1.009765629847808e+24,0.0240532378079456,1014066809658.2832,14490206537.513777,1.5065495949278105,10.066927807483236,554607210.01,0.0126568947881886,24031.036666666667,443.5904656698903,1.2997110518678432,17.568994960696926,1820686230250000,0.0112539465214696,42201902.0,468115.35482933617,1.626247314421745,-1.5899887655802272,17910550.0,16.700900538499454
2015,Argentina,43131966,1032315583600.75,23933.89,Latin America & Caribbean,Upper middle income,0.0162967460860039,0.8655397133781055,27.662825534304933,1.0656754641449572e+24,-0.0251261532081382,1022652259440.6068,15418436837.989698,1.5501245336906222,10.083092506035811,572831090.5321,-0.0357859068937534,23969.376666666667,438.0992559149479,1.342620850415095,17.579774973890604,1860366491025156,0.0110552737623579,42668133.66666666,464517.0071055844,1.645342450774386,-3.8273844013579614,17640824.95,16.685726430009137
2016,Argentina,43590368,1010840035079.44,23189.53,Latin America & Caribbean,Upper middle income,-0.031100669385545,0.8644970996400466,27.64180281899747,1.0217975765194032e+24,0.0273115982828953,1016008856839.3966,14433970068.475834,1.352154580472072,10.051499284667154,537754301.6208999,0.0162967460860039,23557.84,372.2403566244578,1.064043606871325,17.590346789423066,1900120182375424,0.0108383271423382,43130611.333333336,460435.4946106235,1.659851961719694,-1.4553956431616544,18184606.0,16.716086024951665
1995,Austria,7948278,321312267538.72,40425.39,Europe & Central Asia,High income,0.02510903327255,0.9070037507865756,26.49567928329086,1.0324157327087396e+23,0.024021190737979,313298615028.8567,7850983684.041224,1.408904580299736,10.607238068517123,1634212156.6520998,0.0200876129921763,39506.41666666666,885.5198184870551,1.5757111680492768,15.888465985208352,63175123165284,0.0038561112057693,7930009.666666667,21968.905487833217,0.9630828155922342,-7.723816894760429,3476000.0,15.061393053054374
1996,Austria,7959017,328861608034.2,41319.37,Europe & Central Asia,High income,0.0221143197381645,0.9082739280305788,26.51890285494625,1.081499572388398e+23,0.0266798353089681,321045451894.79333,7952921483.127659,1.470886888056437,10.629110877694936,1707290337.1969,0.02510903327255,40393.32333333333,942.4892199560464,1.624091709138777,15.88981618337608,63345951606289,0.0015322352817839,7947804.333333333,11456.846002864197,0.9129521399864664,0.2499759569407031,4110000.0,15.22893382978139
1997,Austria,7968041,335746652652.38,42136.66,Europe & Central Asia,High income,0.0197798272335711,0.9097136671330532,26.53962270254096,1.1272581476727792e+23,0.023495338516978,328640176075.1,7219739779.711173,1.4852229141366853,10.64869715662796,1775498115.9556005,0.0221143197381645,41293.80666666667,855.9213551684244,1.6149265286535046,15.890949349317015,63489677377681,0.0013511102656449,7958445.333333333,9893.894295642654,0.8801856834935584,-0.1192683725366449,4241000.0,15.260309884250145
1998,Austria,7976789,347771169942.14,43597.89,Europe & Central Asia,High income,0.0346783537185908,0.9117858471839932,26.57481054280039,1.2094478664292482e+23,0.0209359938952313,337459810209.57336,9570478801.992054,1.6591242115241085,10.682786970297451,1900776012.4521,0.0197798272335711,42351.30666666666,1154.3258817306908,1.7887604440725358,15.892046632860392,63629162750521,0.0011338083584944,7967949.0,8886.357183909462,0.8646750623935986,-0.1055647441220881,4240000.0,15.26007406305717
1999,Austria,7992324,360139064725.6,45060.62,Europe & Central Asia,High income,0.0335504768694081,0.9140864846747124,26.609756084712664,1.297001459414299e+23,0.0358142581460365,347885629106.70667,12196608846.835548,1.7385916355373314,10.715786165403893,2030459474.7844,0.0346783537185908,43598.39000000001,1461.9800641253594,1.837837917956714,15.893992264149366,63877242920976,0.0010978859170027,7979051.333333333,12298.56236855982,0.9143259204414674,0.7532182313368858,4496000.0,15.318698892975569
2000,Austria,8011566,372296358893.85,46469.86,Europe & Central Asia,High income,0.0312743144679321,0.9164916072288226,26.642956037747307,1.3860457884561834e+23,0.035563312466406,360068864520.53,12262745179.235607,1.7630314605122943,10.746580728471152,2159447888.4196,0.0335504768694081,45042.79,1436.0680178529087,1.8331793073460565,15.89639693037332,64185189772356,0.0019475255018028,7993559.666666667,17421.397370284456,0.992543980688966,-0.0325239444275593,4646000.0,15.351517407551384
2001,Austria,8042293,377013979923.41,46878.92,Europe & Central Asia,High income,0.0088026949080544,0.9186457697220398,26.65554810573452,1.4213954105768935e+23,0.0337572214708588,369816467847.61993,8706496737.161516,1.6074201092730973,10.755344717764796,2197633140.3664,0.0312743144679321,46136.46666666667,953.895727285381,1.6278645093662665,15.900224923841256,64678476697849,0.0024075600538717,8015394.333333333,25203.518451465392,1.149589127386408,-0.0678429224817197,4634000.0,15.348931199770725
2002,Austria,8081957,383240569094.82,47419.28,Europe & Central Asia,High income,0.0115267160591583,0.9206436881244466,26.67192874668733,1.4687333380012151e+23,0.012671681892288,377516969304.0267,5489415539.7931,1.5502616057670544,10.766805264283532,2248588115.7184,0.0088026949080544,46922.68666666667,476.2207733114005,1.5341258857146531,15.905144727873571,65318028949849,0.003835330071549,8045272.0,35289.92846408205,1.3381225373807388,-0.7185327621783539,4914000.0,15.407599035563443
2003,Austria,8121423,386848667609.28,47633.11,Europe & Central Asia,High income,0.0045093472528474,0.9221390823859944,26.681299413733488,1.4965189163107524e+23,0.0165155392186648,382367738875.8367,4975102502.766962,1.4584303276441446,10.77130438022539,2268913168.2721,0.0115267160591583,47310.43666666667,388.6975590781419,1.4088722459862155,15.910016066220562,65957511544929,0.0049319267527307,8081891.0,39565.0412864694,1.4757468558468412,0.309453091304058,4932000.0,15.411255346023854
2004,Austria,8171966,397429443747.18,48633.27,Europe & Central Asia,High income,0.0209971593288784,0.923441638896005,26.70828325528123,1.5795016275719292e+23,0.0094147092072793,389172893483.76,7374453227.989722,1.548666011749561,10.792083705424265,2365194950.8928995,0.0045093472528474,47895.22,648.0502828484555,1.4827000425841608,15.916220196732349,66781028305156,0.004883223209428,8125115.333333333,45117.95667285225,1.6374418611997577,-0.6087916775511578,4687000.0,15.360303490260913
2005,Austria,8227829,406348020084.22,49387.03,Europe & Central Asia,High income,0.0154988550019359,0.9244907355546276,26.730475821696743,1.6511871342636563e+23,0.0273512022240867,396875377146.8933,9761476788.051258,1.5794570464094553,10.807463366122454,2439078732.2209,0.0209971593288784,48551.136666666665,879.839903012641,1.4913818821275409,15.923032868384515,67697170053241,0.0062234167583685,8173739.333333333,53225.16080138598,1.769022100150342,3.6563633607102775,4732000.0,15.369858715407526
2006,Austria,8268641,420383450698.26,50840.69,Europe & Central Asia,High income,0.0294340437155262,0.9258952587690104,26.76443310956841,1.767222456209764e+23,0.0224406532463996,408053638176.5533,11571666197.451591,1.698055650207033,10.836471966292995,2584775759.6761003,0.0154988550019359,49620.33,1122.0505477027211,1.6269893807429856,15.927980845535616,68370423986881,0.0068359315249231,8222812.0,48532.37705903219,1.776576082729591,-0.261859437308762,4933000.0,15.411458082932254
2007,Austria,8295487,436052887762.18,52565.07,Europe & Central Asia,High income,0.0339173209490271,0.9276858622248844,26.80102937514805,1.901421209257364e+23,0.034540418361411,420928119514.8867,14859922241.759912,1.8035917697946688,10.86982613355278,2763086584.1049,0.0294340437155262,50930.93,1590.9406034167314,1.7645091172521126,15.931222310497084,68815104567169,0.0049602392076937,8263985.666666667,34068.392056764285,1.7153853818267857,0.8991108512112491,4951000.0,15.415100336322938
2008,Austria,8321496,442421107373.8,53166.05,Europe & Central Asia,High income,0.011433067624565,0.9295703702889078,26.8155279970806,1.9573643624985943e+23,0.037274153009337,432952481944.7466,11341250597.347914,1.722732945038704,10.881194122544285,2826628872.6025004,0.0339173209490271,52190.60333333333,1207.0599594607363,1.6832187603117903,15.934352724496929,69247295678016,0.0032467245826732,8295208.0,26428.6045223742,1.6689345138366558,0.1523160486146841,4997000.0,15.424348490446397
2009,Austria,8343323,425765818911.11,51030.72,Europe & Central Asia,High income,-0.0401634125536879,0.9303742524780332,26.77715531120028,1.812765325530481e+23,0.0146042367573842,434746604682.36334,8404132320.31339,1.2823404316330989,10.840202679153329,2604134383.7184,0.011433067624565,52253.94666666666,1101.1388870770825,1.1824355209816566,15.93697225608161,69611038682329,0.0031353192404497,8320102.0,23948.447778510785,1.6176583074252506,-0.6629135997578537,4921000.0,15.409022523058823
2010,Austria,8363404,433587535848.3,51843.43,Europe & Central Asia,High income,0.0159258971850682,0.9311901600856868,26.79535954092368,1.8799815124300083e+23,-0.0376457817791636,433924820711.07,8332765402.485823,1.339909149723001,10.856002782621978,2687741234.1649,-0.0401634125536879,52013.4,1077.7643076758543,1.2548917551540453,15.939376198788835,69946526467216,0.0026229658705598,8342741.0,20960.06104475982,1.5727962881558477,-4.512916556829669,4701000.0,15.363286022726944
2011,Austria,8391643,446260420568.48,53179.15,Europe & Central Asia,High income,0.025764498992447,0.931959747470082,26.82416852118382,1.9914836296595665e+23,0.0183709367679958,435204591775.9633,10342549331.69201,1.469679543474634,10.881440485402283,2828021994.7225003,0.0159258971850682,52017.76666666667,1084.773165797045,1.4032911003046662,15.942747006804789,70419672239449,0.0024068347827359,8366123.333333333,24274.506798973227,1.573263012749608,-1.3965274903814375,4807000.0,15.385583954906032
2012,Austria,8429991,449296979861.32,53297.44,Europe & Central Asia,High income,0.0022243680088906,0.9321993574035212,26.83094993112661,2.018677761125034e+23,0.0292279728368711,443048312092.7,8332759953.623435,1.422113667418829,10.883662341432927,2840617110.5536003,0.025764498992447,52773.34,807.4946359574417,1.335052534762437,15.947306380985893,71064748260081,0.0033764959817796,8395012.666666666,33421.14798048414,1.615028108559963,0.6177737864968327,4883000.0,15.401270547835912
2013,Austria,8479823,449411571762.95,52997.75,Europe & Central Asia,High income,-0.0056229717599944,0.932144353799764,26.831204945729617,2.019707608344452e+23,0.006804455768163,448322990730.9167,1787156843.2114043,1.337730331453228,10.878023607350473,2808761505.0625,0.0022243680088906,53158.113333333335,150.9484350146997,1.2120405153834972,15.953200252835725,71907398111329,0.0045697844867804,8433819.0,44214.45790688946,1.6915239082618987,-0.9136653885820648,4905000.0,15.405765854855176
2014,Austria,8546356,452383408466.62,52932.9,Europe & Central Asia,High income,-0.0012236368525078,0.9327639777898457,26.83779590604109,2.0465074825587675e+23,0.0002550471219846,450363986696.9634,1749808857.7985203,1.313016913956326,10.876799244359434,2801891902.4100003,-0.0056229717599944,53076.030000000006,194.46894790698536,1.1432410749632498,15.961015668242924,73040200878736,0.0059112755873642,8485390.0,58381.90578424192,1.8089322009375428,-3.527896345172977,4833000.0,15.39097815773802
2015,Austria,8642699,456972845319.88,52873.86,Europe & Central Asia,High income,-0.0011153743701932,0.9330977744238356,26.847889806646062,2.0882418135974696e+23,0.0066127284885257,452922608516.48334,3809365691.429564,1.3189157546764214,10.875683268590937,2795645071.2996,-0.0012236368525078,52934.83666666667,61.96770153374636,1.084060062389646,15.972225591962284,74696246004601,0.0078460364090147,8556292.666666666,81891.39669301943,1.990839637297621,-0.7823860932018954,4836000.0,15.391598697499264
2016,Austria,8736668,466064032926.32,53345.74,Europe & Central Asia,High income,0.0089246368621469,0.9331516176712962,26.86758887134749,2.172156827875459e+23,0.010145015859039,458473428904.2734,6962663622.65044,1.3951354708041628,10.884568148958452,2845767976.1476,-0.0011153743701932,53050.833333333336,257.09703797084273,1.1181030581826554,15.98303955370508,76329367742224,0.0112729916703679,8641907.666666666,95158.46779101455,2.1064107961666654,-0.0884759903174425,4928000.0,15.41044398711755
