Year,Country Name,Population,GDP PPP 2017,GDP PPP/capita 2017,Urban population %,Region,Income Group,GDP PPP 2017_log,GDP PPP/capita 2017_log,Population_log,gdp_pc_log_squared,year_relative,GDP PPP 2017_log_growth_1y,Population_log_growth_1y,urban_pop_perc,gdp_log_x_pop_log,gdp_pc_log_x_urban,gdp_pc_log2_x_urban,year_relative_x_gdp_pc_log,year_relative_x_Population_log,year_relative_x_urban_pop_perc,IW,IW_log
2006,Czechia,10238905,331257378446.3,32352.81,73.533,Europe & Central Asia,High income,26.526161488556657,10.384487067337316,16.14170533593077,107.83757165169597,16,0.0654780735065294,0.0027079560274856,0.73533,428.1774824415963,7.636024875225149,79.2962015626416,166.15179307739706,258.2672853748923,11.76528,18500666.0,16.733317343452676
2008,Czechia,10384603,359104175715.3,34580.44,73.394,Europe & Central Asia,High income,26.60687836639349,10.451072400938212,16.15583488264427,109.2249143296524,18,0.0265096140227072,0.0082941252279162,0.73394,429.8563336300532,7.670460077944591,80.16453362310509,188.11930321688783,290.8050278875969,13.210920000000002,16630883.0,16.62677200670161
2010,Czechia,10474410,350716111254.44,33483.14,73.255,Europe & Central Asia,High income,26.58324293331517,10.418827172872628,16.164445793074613,108.55195965818903,20,0.0240573099409182,0.0029136164632319,0.7325499999999999,429.70338939970674,7.632311845487843,79.51973804760638,208.37654345745256,323.2889158614922,14.650999999999998,18497723.0,16.73315825545308
2012,Czechia,10510785,354088374418.53,33688.1,73.197,Europe & Central Asia,High income,26.592812364176904,10.424929621885266,16.16791252597498,108.67915762126088,22,-0.0078810167810345,0.0013992564241895,0.73197,429.9502641236781,7.630735735331358,79.54988300403431,229.34845168147584,355.6940755714496,16.10334,19266245.0,16.7738652108261
2014,Czechia,10525347,361932001410.64,34386.7,73.384,Europe & Central Asia,High income,26.614722189723462,10.445454221282802,16.16929700111913,109.1075138889147,24,0.0223689676716993,0.0010527757152019,0.73384,430.3413476879144,7.665292125746172,80.06745799224116,250.69090131078724,388.0631280268591,17.612160000000003,18451783.0,16.73067161754321
2016,Czechia,10566332,391112348862.47,37014.96,73.57,Europe & Central Asia,High income,26.692260692905062,10.519104449972463,16.17318337239376,110.65155842943048,26,0.0250562978664881,0.0019204839764945,0.7356999999999999,431.6988268100917,7.73890514384474,81.406351536532,273.49671569928404,420.5027676822377,19.1282,20459373.0,16.833951721734245
2018,Czechia,10629928,424572987495.39,39941.29,73.792,Europe & Central Asia,High income,26.77434976548336,10.595190941330166,16.17918407108604,112.2580710832448,28,0.0316932999538153,0.0033442723078636,0.73792,433.1871332393946,7.818403299426357,82.83747581374801,296.66534635724463,453.0171539904092,20.66176,26635434.0,17.097753030093997
2020,Czechia,10697858,413365014030.65,38639.98,74.061,Europe & Central Asia,High income,26.74759685079093,10.562068650323678,16.185554185952824,111.55729417415024,30,-0.0566017589788394,0.002432226594486,0.7406100000000001,432.92467817249775,7.8223736631162195,82.62044763831742,316.8620595097103,485.5666255785848,22.218300000000003,26111102.0,17.07787118413387
2022,Czechia,10672118,438115477819.06,41052.35,74.377,Europe & Central Asia,High income,26.80574836056484,10.62262771934621,16.183145197750036,112.84021966382248,32,0.0232379310502395,0.0157097241883548,0.7437699999999999,433.8013178533708,7.90079181881813,83.92717017936124,339.92408701907874,517.8606463280012,23.80064,27575742.0,17.13244706743712
2004,Denmark,5404523,272639494374.13,50446.54,85.566,Europe & Central Asia,High income,26.331416226034328,10.828689263443238,15.50274693857236,117.26051116421084,14,0.0263324309375185,0.0025843223417325,0.85566,408.2092822864282,9.26567625515784,100.33512898276864,151.60164968820533,217.03845714001304,11.97924,7827544.0,15.873159481128166
2006,Denmark,5437272,289927788951.14,53322.29,86.098,Europe & Central Asia,High income,26.39289772530708,10.88412847531483,15.508788206381205,118.46425266715912,16,0.0383839013767897,0.0032864509837757,0.86098,409.32186097446765,9.37101693467656,101.99535226137066,174.14605560503728,248.14061130209927,13.77568,8446227.0,15.949230509138898
2008,Denmark,5493621,291065948985.47,52982.53,86.487,Europe & Central Asia,High income,26.39681570726096,10.877736389523026,15.519098340940554,118.32514895995344,18,-0.0051333204219794,0.0058754748299332,0.8648699999999999,409.65477884866704,9.40782787120678,102.33587158099492,195.7992550114145,279.34377013692995,15.567659999999998,8380486.0,15.941416585328152
2012,Denmark,5591572,286379681639.88,51216.31,87.142,Europe & Central Asia,High income,26.38058432552492,10.843832839826929,15.536771200895874,117.58871065810892,22,0.002262436676979,0.0037627217520057,0.87142,409.8691028116207,9.44953281328198,102.46915424168928,238.5643224761924,341.80896641970924,19.17124,9012320.0,16.01410319907436
2014,Denmark,5643475,293733480145.14,52048.34,87.41,Europe & Central Asia,High income,26.405938663023,10.859947393847447,15.5460107456887,117.93845739713396,24,0.0160642149070362,0.0050705319293431,0.8741,410.5070062053523,9.492680016962051,103.0900056108348,260.6387374523387,373.1042578965288,20.9784,8941528.0,16.006217161608664
2016,Denmark,5728010,310372270416.48,54185.01,87.642,Europe & Central Asia,High income,26.46103828626964,10.900178036028352,15.560878908011835,118.81388121711493,26,0.0319438875583628,0.0078039250736061,0.87642,411.7570125529068,9.553134034335969,104.13086177630385,283.40462893673714,404.5828516083077,22.78692,7639882.0,15.848892846889315
2018,Denmark,5793636,325479371132.15,56178.77,87.874,Europe & Central Asia,High income,26.508564920651672,10.93631200666623,15.57227080433048,119.60292030715192,28,0.0197000466914119,0.0049583884008317,0.87874,412.7985515785632,9.61017481273788,105.09987019070668,306.21673618665443,436.0235825212535,24.60472,8169100.0,15.915869424061995
2020,Denmark,5831404,322331219106.96,55275.06,88.116,Europe & Central Asia,High income,26.498845484582763,10.92009518238483,15.578768524146282,119.2484787923444,30,-0.0245438786075915,0.0029164112739135,0.8811599999999999,412.81937996143375,9.622351070910216,105.07698957266216,327.6028554715449,467.36305572438846,26.4348,7699299.0,15.85663997360052
2022,Denmark,5903037,353799230461.09,59935.12,88.367,Europe & Central Asia,High income,26.591995443604976,11.001034607377422,15.590977691606817,121.02276243271572,32,0.026945433611285,0.0078750233080686,0.8836700000000001,414.59520773655527,9.721284251501206,106.9441844789179,352.0331074360775,498.9112861314181,28.27744,7595132.0,15.843018205379424
2004,Finland,5228172,228601643583.12,43724.97,82.772,Europe & Central Asia,High income,26.15524677806308,10.685697483745942,15.469572444226957,114.18413071413435,14,0.0391446649761597,0.0029035030590218,0.82772,404.6104848298804,8.844765521246192,94.51248867470328,149.5997647724432,216.57401421917737,11.58808,64777270.0,17.986465343620328
2006,Finland,5266268,244419085501.3,46412.2,83.037,Europe & Central Asia,High income,26.22215015244816,10.74533918051542,15.476832700149226,115.46231410431982,16,0.0394842328328586,0.0038377706329058,0.83037,405.8358309476327,8.92260729532459,95.87644176280403,171.92542688824673,247.6293232023876,13.28592,63806653.0,17.971368037547553
2008,Finland,5313399,259389456552.98,48817.99,83.299,Europe & Central Asia,High income,26.281596462489905,10.795874655490422,15.485742489630963,116.55090957706044,18,0.0078093778844134,0.0046554919668544,0.8329900000000001,406.99003503451473,8.992855629276969,97.0857421685956,194.3257437988276,278.74336481335735,14.993820000000005,69872612.0,18.062184327854247
2010,Finland,5363352,246041956444.16,45874.66,83.77,Europe & Central Asia,High income,26.228767912991103,10.733689972174362,15.495099897167568,115.21210041875646,20,0.031362598248787,0.0045749444997031,0.8377,406.4173789914204,8.991612089690463,96.51317652079229,214.67379944348724,309.9019979433514,16.754,92696948.0,18.34484611737309
2012,Finland,5413971,248784129304.4,45952.25,84.841,Europe & Central Asia,High income,26.2398514068114,10.73537985433597,15.504493577366135,115.2483806168826,22,-0.0140740334942712,0.0047580939858828,0.8484099999999999,406.8356076079491,9.10800362221718,97.77787859916936,236.17835679539127,341.098858702055,18.66502,86549734.0,18.276229777767824
2014,Finland,5461512,245641204296.28,44976.78,85.175,Europe & Central Asia,High income,26.22713778908766,10.713923869026289,15.513236415561355,114.7881646712912,24,-0.0036557557082055,0.0041356013164008,0.85175,406.86778902562,9.12558465544314,97.77081925877228,257.13417285663087,372.31767397347255,20.442,90628013.0,18.322273928517117
2016,Finland,5495303,253920299689.41,46206.79,85.275,Europe & Central Asia,High income,26.26028627397905,10.74090367757458,15.519404467310524,115.36701181093515,26,0.0277266176958583,0.0028742134930919,0.85275,407.5440041132437,9.159305611051725,98.37921932177495,279.2634956169391,403.5045161500736,22.1715,118628435.0,18.59150677970144
2018,Finland,5515525,265012838732.94,48048.52,85.382,Europe & Central Asia,High income,26.30304410981167,10.779987424754369,15.523077582368314,116.20812887786232,28,0.0113327215782597,0.0013264101672714,0.85382,408.3041943690624,9.204168863003776,99.2208245984964,301.83964789312233,434.6461723063128,23.90696,122491386.0,18.623551275273098
2020,Finland,5529543,261941184514.97,47371.22,85.517,Europe & Central Asia,High income,26.29138582892636,10.76579125992416,15.525615910785724,115.9022614522594,30,-0.0238313764177817,0.0014364117121719,0.85517,408.1899581421853,9.206581711749342,99.11613692612868,322.9737377977248,465.7684773235717,25.6551,110550636.0,18.520984227349725
2022,Finland,5556106,273777977547.4,49275.15,85.681,Europe & Central Asia,High income,26.33558331394499,10.805195470155486,15.530408241130251,116.75224914826862,32,0.0162109900087159,0.002719444774943,0.85681,409.0023601338637,9.257999530783922,100.03449459272802,345.76625504497554,496.9730637161681,27.41792,110001324.0,18.51600296913869
